N,type,estimate,abs_error
100,wide,1.2638776741,0.3193604883
100,narrow,1.0000000000,0.0554828141
600,wide,0.9236029157,0.0209142702
600,narrow,0.9416666667,0.0028505192
1100,wide,1.0605966496,0.1160794637
1100,narrow,0.9329545455,0.0115626404
1600,wide,1.0572822851,0.1127650992
1600,narrow,0.9578125000,0.0132953141
2100,wide,0.9490656527,0.0045484669
2100,narrow,0.9648809524,0.0203637665
2600,wide,0.8600351037,0.0844820822
2600,narrow,0.9403846154,0.0041325705
3100,wide,0.8718560631,0.0726611228
3100,narrow,0.9556451613,0.0111279754
3600,wide,0.9776147821,0.0330975962
3600,narrow,0.9506944444,0.0061772585
4100,wide,0.9864411115,0.0419239256
4100,narrow,0.9621951220,0.0176779361
4600,wide,0.9130353766,0.0314818093
4600,narrow,0.9361413043,0.0083758816
5100,wide,0.9131182593,0.0313989266
5100,narrow,0.9517156863,0.0071985004
5600,wide,0.8802005231,0.0643166628
5600,narrow,0.9428571429,0.0016600430
6100,wide,0.9243998121,0.0201173738
6100,narrow,0.9471311475,0.0026139616
6600,wide,0.9854710536,0.0409538677
6600,narrow,0.9490530303,0.0045358444
7100,wide,0.9256568881,0.0188602978
7100,narrow,0.9404929577,0.0040242282
7600,wide,0.9926812501,0.0481640642
7600,narrow,0.9503289474,0.0058117615
8100,wide,0.9338051572,0.0107120287
8100,narrow,0.9439814815,0.0005357044
8600,wide,0.9439515724,0.0005656135
8600,narrow,0.9540697674,0.0095525815
9100,wide,0.9540513635,0.0095341776
9100,narrow,0.9417582418,0.0027589441
9600,wide,0.9347428632,0.0097743227
9600,narrow,0.9555989583,0.0110817724
